hour_of_day,day_of_week,duration_minutes,break_minutes,prev_session_score,distraction_minutes_today,productivity_score,is_distracted
8,1,90,10,7.5,5,8.2,0
9,1,60,5,8.2,8,8.8,0
10,2,45,0,7.0,15,7.5,0
14,3,30,5,6.0,35,5.2,1
15,3,60,10,5.2,40,4.8,1
19,4,90,15,6.5,10,8.0,0
20,4,75,5,8.0,12,8.5,0
7,5,45,0,7.8,3,7.2,0
11,1,60,5,7.2,20,7.0,0
13,2,30,0,5.5,50,4.5,1
8,0,90,10,8.5,5,9.0,0
9,0,60,5,9.0,8,8.8,0
21,6,45,5,7.5,15,7.8,0
22,6,30,0,6.5,20,6.2,0
16,3,90,15,5.0,55,4.2,1
17,4,60,10,4.2,45,5.0,1
10,1,75,5,8.0,10,8.3,0
8,2,60,0,8.3,5,8.7,0
19,5,90,20,7.0,8,8.1,0
14,2,45,5,6.8,30,5.5,1
